"base_model","shape","talla","rank","alpha","network","optimizer","ep","batch","gas","unet_lr","te_lr","sched","warm","snr","noise_off","wd","d_coef","workers","x_over"
"KBlueLeaf/Kohaku-XL-Zeta","subject","ECH","32","32","conv","prodigy","40","7","1","0.9","0.9","constant",,"7",,"0.015","1.2","4",""
"KBlueLeaf/Kohaku-XL-Zeta","subject","CH","32","32","conv","prodigy","32","6","1","0.9","0.9","constant",,"6",,"0.015","1.2","4",""
"KBlueLeaf/Kohaku-XL-Zeta","subject","M","32","32","conv","prodigy","30","10","1","1.0","1.0","cosine","40","6",,"0.007","1.2","4",""
"KBlueLeaf/Kohaku-XL-Zeta","subject","G","32","32","conv","prodigy","19","10","1","1.1","1.1","constant_with_warmup","75","6",,"0.01","1.0","6",""
"KBlueLeaf/Kohaku-XL-Zeta","subject","EG","32","32","conv","prodigy","11","12","1","1.2","1.2","constant_with_warmup","100","6",,"0.01","0.9","8",""
"Lykon/art-diffusion-xl-0.9","style","ECH","32","32","conv","adamw","30","4","1","2E-05","2E-06","cosine","25","5","0.0357","0.0001",,"4",""
"Lykon/art-diffusion-xl-0.9","style","CH","32","32","conv","adamw","27","6","1","2.4E-05","2.4E-06","cosine","50","5","0.0357","0.0001",,"4",""
"Lykon/art-diffusion-xl-0.9","style","M","32","32","conv","adamw","21","8","1","2.8E-05","2.8E-06","cosine","75","6","0.0357","0.0001",,"4",""
"Lykon/art-diffusion-xl-0.9","style","G","32","32","conv","adamw","14","10","1","3.2E-05","3.2E-06","cosine","100","6","0.0357","0.0001",,"6",""
"Lykon/art-diffusion-xl-0.9","style","EG","32","32","conv","adamw","8","12","1","3.6E-05","3.6E-06","cosine","120","7","0.0357","0.0001",,"8",""
"Lykon/art-diffusion-xl-0.9","subject","ECH","32","32","conv","prodigy","35","4","2","0.8","0.8","constant",,"6",,"0.015","1.3","4",""
"Lykon/art-diffusion-xl-0.9","subject","CH","32","32","conv","prodigy","32","6","1","0.9","0.9","constant",,"6",,"0.015","1.2","4",""
"Lykon/art-diffusion-xl-0.9","subject","M","32","32","conv","prodigy","26","8","1","1.0","1.0","constant_with_warmup","50","6",,"0.01","1.1","4",""
"Lykon/art-diffusion-xl-0.9","subject","G","32","32","conv","prodigy","19","10","1","1.1","1.1","constant_with_warmup","75","6",,"0.01","1.0","6",""
"Lykon/art-diffusion-xl-0.9","subject","EG","32","32","conv","prodigy","11","12","1","1.2","1.2","constant_with_warmup","100","6",,"0.01","0.9","8",""
"Lykon/dreamshaper-xl-1-0","style","ECH","32","32","conv","adamw","40","4","2","2.2E-05","1E-06","constant_with_warmup","25","6","0.02","0.00015",,"4",""
